Dashboard;Worksheet
Customers and Bins;Calculated Fields
Customers and Bins;Custom Bins
Profit Sales Trend;Trend Lines
Profit Sales Trend;Trend Line with Date
Profit Sales Trend;Binned Measure/Histogram
Profit Sales Trend;Trend Lines
Profit Sales Trend;Trend Lines
Profit Status and Trend;Parsing Dates/Strings
Profit Status and Trend;No Aggregation in Calculated Field
Profit Status and Trend;Aggregation Within Calculated Field
Profit Status and Trend;Parsing Dates/Strings
Profit Status and Trend;No Aggregation in Calculated Field
Profit Status and Trend;Aggregation Within Calculated Field
Sales Cat Aggregation;Table Calculation - Cell
Sales Cat Aggregation;Reference Line
Sales Cat Aggregation;Table Calculation - Cell
Sales Cat Aggregation;Reference Line
